Tool,Description,href,toolset,desc,toolb
Table To Relationship Class,"Creates an attributed relationship class from the origin, destination, and relationship tables.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-relationship-classes-toolset.htm,Relationship Classes,"Relationship classes define relationships between objects in the geodatabase. These relationships can be simple one-to-one relationships, similar to what you might create between a feature and a row in a table, or more complex one-to-many (or many-to-many) relationships between features and table rows. Some relationships specify that a given feature, row, or table is not only related to another feature but that creating, editing, or deleting one will have a specified effect on the other. These are called composite relationships, and they can be used to ensure that the links between objects in the database are maintained and up to date. Deleting a feature, such as a power pole, can trigger the deletion of other features, such as a transformer mounted on the pole or the maintenance records in a related table.",Data Management toolbox
Create Fishnet,Creates a fishnet of rectangular cells.  The output can be polyline or polygon features.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-sampling-toolset.htm,Sampling,"The Sampling toolset provides tools that create features used either as sampling locations or as aggregation areas.  For example, the Create Random Points tool creates points that can be used as sampling locations within the extent of a dataset.   The Generate Tessellation tool creates a mesh of triangle, square, or hexagon polygons within an extent that can be used to aggregate other data.",Data Management toolbox
Create Random Points,"Creates a specified number of random point features. Random points can be generated in an extent window, inside polygon features, on point features, or along line features.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-sampling-toolset.htm,Sampling,"The Sampling toolset provides tools that create features used either as sampling locations or as aggregation areas.  For example, the Create Random Points tool creates points that can be used as sampling locations within the extent of a dataset.   The Generate Tessellation tool creates a mesh of triangle, square, or hexagon polygons within an extent that can be used to aggregate other data.",Data Management toolbox
Generate Points Along Lines,Creates point features along lines or polygons at fixed intervals or by percentage.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-sampling-toolset.htm,Sampling,"The Sampling toolset provides tools that create features used either as sampling locations or as aggregation areas.  For example, the Create Random Points tool creates points that can be used as sampling locations within the extent of a dataset.   The Generate Tessellation tool creates a mesh of triangle, square, or hexagon polygons within an extent that can be used to aggregate other data.",Data Management toolbox
Generate Rectangles Along Lines,Creates a series of rectangular polygons that follow a single linear feature or a group of linear features.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-sampling-toolset.htm,Sampling,"The Sampling toolset provides tools that create features used either as sampling locations or as aggregation areas.  For example, the Create Random Points tool creates points that can be used as sampling locations within the extent of a dataset.   The Generate Tessellation tool creates a mesh of triangle, square, or hexagon polygons within an extent that can be used to aggregate other data.",Data Management toolbox
Generate Tessellation,"Generates a tessellated grid of regular polygon features to cover a given extent.  The tessellation can be of triangles, squares, diamonds, hexagons, or transverse hexagons.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-sampling-toolset.htm,Sampling,"The Sampling toolset provides tools that create features used either as sampling locations or as aggregation areas.  For example, the Create Random Points tool creates points that can be used as sampling locations within the extent of a dataset.   The Generate Tessellation tool creates a mesh of triangle, square, or hexagon polygons within an extent that can be used to aggregate other data.",Data Management toolbox
Generate Transects Along Lines,Creates perpendicular transect lines at a regular interval along lines.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-sampling-toolset.htm,Sampling,"The Sampling toolset provides tools that create features used either as sampling locations or as aggregation areas.  For example, the Create Random Points tool creates points that can be used as sampling locations within the extent of a dataset.   The Generate Tessellation tool creates a mesh of triangle, square, or hexagon polygons within an extent that can be used to aggregate other data.",Data Management toolbox
Add Subtype,Adds a new subtype to the subtypes in the input table.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-subtypes-toolset.htm,Subtypes,"One of the great advantages of using the geodatabase to store geographic data is the ability to create subtypes for your features and attributes. Subtypes provide a method of dividing your feature classes or tables into logical groupings based on an attribute value. By allowing you to work with a subset of features in a feature class, subtypes make it possible to assign consistent attributes and behavior to those subsets.",Data Management toolbox
Remove Subtype,Removes a subtype from the input table using its code.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-subtypes-toolset.htm,Subtypes,"One of the great advantages of using the geodatabase to store geographic data is the ability to create subtypes for your features and attributes. Subtypes provide a method of dividing your feature classes or tables into logical groupings based on an attribute value. By allowing you to work with a subset of features in a feature class, subtypes make it possible to assign consistent attributes and behavior to those subsets.",Data Management toolbox
Set Default Subtype,Sets the default value or code for the input table's subtype.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-subtypes-toolset.htm,Subtypes,"One of the great advantages of using the geodatabase to store geographic data is the ability to create subtypes for your features and attributes. Subtypes provide a method of dividing your feature classes or tables into logical groupings based on an attribute value. By allowing you to work with a subset of features in a feature class, subtypes make it possible to assign consistent attributes and behavior to those subsets.",Data Management toolbox
Set Subtype Field,Defines the field in the input table or feature class that stores the subtype codes.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-subtypes-toolset.htm,Subtypes,"One of the great advantages of using the geodatabase to store geographic data is the ability to create subtypes for your features and attributes. Subtypes provide a method of dividing your feature classes or tables into logical groupings based on an attribute value. By allowing you to work with a subset of features in a feature class, subtypes make it possible to assign consistent attributes and behavior to those subsets.",Data Management toolbox
Analyze,"Updates database statistics of business tables, feature tables, and delta tables, along with the statistics of those tables' indexes.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-table-toolset.htm,Table,"A table contains a collection of rows and columns, where each row, or record, represents a geographic feature—such as a parcel, power pole, highway, or group of lakes—and each column, or field, describes a particular attribute of the geographic feature, such as its square footage, height, length, and area. Tables are typically stored in a database or simply in files such as dBASE tables. Tables manage the attributes of geographic features.",Data Management toolbox
Copy Rows,"Copies the rows of a table, table view, feature class, feature layer, or raster with attribute table to a new geodatabase, .csv, .txt, or .dbf table.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-table-toolset.htm,Table,"A table contains a collection of rows and columns, where each row, or record, represents a geographic feature—such as a parcel, power pole, highway, or group of lakes—and each column, or field, describes a particular attribute of the geographic feature, such as its square footage, height, length, and area. Tables are typically stored in a database or simply in files such as dBASE tables. Tables manage the attributes of geographic features.",Data Management toolbox
Create Table,Creates a geodatabase table or dBASE table.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-table-toolset.htm,Table,"A table contains a collection of rows and columns, where each row, or record, represents a geographic feature—such as a parcel, power pole, highway, or group of lakes—and each column, or field, describes a particular attribute of the geographic feature, such as its square footage, height, length, and area. Tables are typically stored in a database or simply in files such as dBASE tables. Tables manage the attributes of geographic features.",Data Management toolbox
Create Unregistered Table,Creates an empty table in a database or enterprise geodatabase. The table is not registered with the geodatabase.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-table-toolset.htm,Table,"A table contains a collection of rows and columns, where each row, or record, represents a geographic feature—such as a parcel, power pole, highway, or group of lakes—and each column, or field, describes a particular attribute of the geographic feature, such as its square footage, height, length, and area. Tables are typically stored in a database or simply in files such as dBASE tables. Tables manage the attributes of geographic features.",Data Management toolbox
Delete Rows,Deletes all or the selected subset of rows from the input.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-table-toolset.htm,Table,"A table contains a collection of rows and columns, where each row, or record, represents a geographic feature—such as a parcel, power pole, highway, or group of lakes—and each column, or field, describes a particular attribute of the geographic feature, such as its square footage, height, length, and area. Tables are typically stored in a database or simply in files such as dBASE tables. Tables manage the attributes of geographic features.",Data Management toolbox
Get Count,Returns the total number of rows for a table.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-table-toolset.htm,Table,"A table contains a collection of rows and columns, where each row, or record, represents a geographic feature—such as a parcel, power pole, highway, or group of lakes—and each column, or field, describes a particular attribute of the geographic feature, such as its square footage, height, length, and area. Tables are typically stored in a database or simply in files such as dBASE tables. Tables manage the attributes of geographic features.",Data Management toolbox
Pivot Table,Creates a table from the input table by reducing redundancy  in records and flattening one-to-many relationships.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-table-toolset.htm,Table,"A table contains a collection of rows and columns, where each row, or record, represents a geographic feature—such as a parcel, power pole, highway, or group of lakes—and each column, or field, describes a particular attribute of the geographic feature, such as its square footage, height, length, and area. Tables are typically stored in a database or simply in files such as dBASE tables. Tables manage the attributes of geographic features.",Data Management toolbox
Truncate Table,Removes all rows from a database table or feature class using truncate procedures in the database.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-table-toolset.htm,Table,"A table contains a collection of rows and columns, where each row, or record, represents a geographic feature—such as a parcel, power pole, highway, or group of lakes—and each column, or field, describes a particular attribute of the geographic feature, such as its square footage, height, length, and area. Tables are typically stored in a database or simply in files such as dBASE tables. Tables manage the attributes of geographic features.",Data Management toolbox
Export Tile Cache,Exports tiles from an existing tile cache to a new tile cache or a tile package.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-tile-cache-toolset.htm,Tile Cache,"The Tile Cache toolset contains tools to generate, manage, import, and export  tile caches. These tools are capable of generating tile caches from a raster dataset or a mosaic dataset on your desktop without the need for ArcGIS Server. These tile caches can then be shared as tile packages on ArcGIS Online and published as tiled map services.",Data Management toolbox
Generate Tile Cache Tiling Scheme,"Generates an XML tiling scheme file that defines the scale levels, tile dimensions, and other properties for a tile cache.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-tile-cache-toolset.htm,Tile Cache,"The Tile Cache toolset contains tools to generate, manage, import, and export  tile caches. These tools are capable of generating tile caches from a raster dataset or a mosaic dataset on your desktop without the need for ArcGIS Server. These tile caches can then be shared as tile packages on ArcGIS Online and published as tiled map services.",Data Management toolbox
Import Tile Cache,Imports tiles from one tile cache to another.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-tile-cache-toolset.htm,Tile Cache,"The Tile Cache toolset contains tools to generate, manage, import, and export  tile caches. These tools are capable of generating tile caches from a raster dataset or a mosaic dataset on your desktop without the need for ArcGIS Server. These tile caches can then be shared as tile packages on ArcGIS Online and published as tiled map services.",Data Management toolbox
Manage Tile Cache,Creates and update tiles in an existing tile cache.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-tile-cache-toolset.htm,Tile Cache,"The Tile Cache toolset contains tools to generate, manage, import, and export  tile caches. These tools are capable of generating tile caches from a raster dataset or a mosaic dataset on your desktop without the need for ArcGIS Server. These tile caches can then be shared as tile packages on ArcGIS Online and published as tiled map services.",Data Management toolbox
Add Feature Class To Topology,Adds a feature class to a topology.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-topology-toolset.htm,Topology, The Topology toolset contains a set of tools that can be used to create and manage a geodatabase topology. ,Data Management toolbox
Add Rule To Topology,Adds a new rule to a topology.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-topology-toolset.htm,Topology, The Topology toolset contains a set of tools that can be used to create and manage a geodatabase topology. ,Data Management toolbox
Create Topology,Creates a topology. The topology will not contain any feature classes or rules.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-topology-toolset.htm,Topology, The Topology toolset contains a set of tools that can be used to create and manage a geodatabase topology. ,Data Management toolbox
Export Topology Errors,"Exports the errors and exceptions from a geodatabase topology to the target geodatabase.  All information associated with the errors and exceptions, such as the features referenced by the error or exception, is exported.
Once the errors and exceptions are exported, the feature classes can be accessed using any license level of ArcGIS.  The feature classes can be used with the Select Layer By Location tool and can be shared with other users who do not have access to the topology.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-topology-toolset.htm,Topology, The Topology toolset contains a set of tools that can be used to create and manage a geodatabase topology. ,Data Management toolbox
Remove Feature Class From Topology,Removes a feature class from a topology.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-topology-toolset.htm,Topology, The Topology toolset contains a set of tools that can be used to create and manage a geodatabase topology. ,Data Management toolbox
Remove Rule From Topology,Removes a rule from a topology.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-topology-toolset.htm,Topology, The Topology toolset contains a set of tools that can be used to create and manage a geodatabase topology. ,Data Management toolbox
Set Cluster Tolerance,Sets the cluster tolerance of a topology.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-topology-toolset.htm,Topology, The Topology toolset contains a set of tools that can be used to create and manage a geodatabase topology. ,Data Management toolbox
Validate Topology,Validates a geodatabase topology.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-topology-toolset.htm,Topology, The Topology toolset contains a set of tools that can be used to create and manage a geodatabase topology. ,Data Management toolbox
Add Field Conflict Filter,Adds a field conflict filter for a given field in a geodatabase table or feature class.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-versions-toolset.htm,Versions,"Versioning allows multiple users to access geographic data in a geodatabase. Versioning lets connected users simultaneously create multiple, persistent representations of the geodatabase without data duplication. The same features or rows can be concurrently edited without explicitly applying locking the data. This framework lets you create versions of a geodatabase for the states of a project, reconcile differences between versions, and update the master version of a geodatabase with the design as-built. Versioning is supported by the Enterprise  geodatabase only.",Data Management toolbox
Alter Version,Alters the properties of a geodatabase version.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-versions-toolset.htm,Versions,"Versioning allows multiple users to access geographic data in a geodatabase. Versioning lets connected users simultaneously create multiple, persistent representations of the geodatabase without data duplication. The same features or rows can be concurrently edited without explicitly applying locking the data. This framework lets you create versions of a geodatabase for the states of a project, reconcile differences between versions, and update the master version of a geodatabase with the design as-built. Versioning is supported by the Enterprise  geodatabase only.",Data Management toolbox
Change Version,Modifies the workspace of a feature layer or table view to connect to the specified version.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-versions-toolset.htm,Versions,"Versioning allows multiple users to access geographic data in a geodatabase. Versioning lets connected users simultaneously create multiple, persistent representations of the geodatabase without data duplication. The same features or rows can be concurrently edited without explicitly applying locking the data. This framework lets you create versions of a geodatabase for the states of a project, reconcile differences between versions, and update the master version of a geodatabase with the design as-built. Versioning is supported by the Enterprise  geodatabase only.",Data Management toolbox
Create Version,Creates a new version in the specified geodatabase.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-versions-toolset.htm,Versions,"Versioning allows multiple users to access geographic data in a geodatabase. Versioning lets connected users simultaneously create multiple, persistent representations of the geodatabase without data duplication. The same features or rows can be concurrently edited without explicitly applying locking the data. This framework lets you create versions of a geodatabase for the states of a project, reconcile differences between versions, and update the master version of a geodatabase with the design as-built. Versioning is supported by the Enterprise  geodatabase only.",Data Management toolbox
Delete Version,"Deletes the specified version from the input enterprise, workgroup, or desktop geodatabase.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-versions-toolset.htm,Versions,"Versioning allows multiple users to access geographic data in a geodatabase. Versioning lets connected users simultaneously create multiple, persistent representations of the geodatabase without data duplication. The same features or rows can be concurrently edited without explicitly applying locking the data. This framework lets you create versions of a geodatabase for the states of a project, reconcile differences between versions, and update the master version of a geodatabase with the design as-built. Versioning is supported by the Enterprise  geodatabase only.",Data Management toolbox
Reconcile Versions,Reconciles a version or multiple versions with a target version.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-versions-toolset.htm,Versions,"Versioning allows multiple users to access geographic data in a geodatabase. Versioning lets connected users simultaneously create multiple, persistent representations of the geodatabase without data duplication. The same features or rows can be concurrently edited without explicitly applying locking the data. This framework lets you create versions of a geodatabase for the states of a project, reconcile differences between versions, and update the master version of a geodatabase with the design as-built. Versioning is supported by the Enterprise  geodatabase only.",Data Management toolbox
Register As Versioned,Registers an enterprise geodatabase dataset as versioned.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-versions-toolset.htm,Versions,"Versioning allows multiple users to access geographic data in a geodatabase. Versioning lets connected users simultaneously create multiple, persistent representations of the geodatabase without data duplication. The same features or rows can be concurrently edited without explicitly applying locking the data. This framework lets you create versions of a geodatabase for the states of a project, reconcile differences between versions, and update the master version of a geodatabase with the design as-built. Versioning is supported by the Enterprise  geodatabase only.",Data Management toolbox
Remove Field Conflict Filter,Removes a field conflict filter for a given field in a geodatabase table or feature class.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-versions-toolset.htm,Versions,"Versioning allows multiple users to access geographic data in a geodatabase. Versioning lets connected users simultaneously create multiple, persistent representations of the geodatabase without data duplication. The same features or rows can be concurrently edited without explicitly applying locking the data. This framework lets you create versions of a geodatabase for the states of a project, reconcile differences between versions, and update the master version of a geodatabase with the design as-built. Versioning is supported by the Enterprise  geodatabase only.",Data Management toolbox
Unregister As Versioned,Unregisters an enterprise geodatabase dataset as versioned.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-versions-toolset.htm,Versions,"Versioning allows multiple users to access geographic data in a geodatabase. Versioning lets connected users simultaneously create multiple, persistent representations of the geodatabase without data duplication. The same features or rows can be concurrently edited without explicitly applying locking the data. This framework lets you create versions of a geodatabase for the states of a project, reconcile differences between versions, and update the master version of a geodatabase with the design as-built. Versioning is supported by the Enterprise  geodatabase only.",Data Management toolbox
Clear Workspace Cache,Clears any enterprise geodatabase workspaces from the enterprise geodatabase workspace cache.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Create Cloud Storage Connection File,Creates a connection file for ArcGIS-supported cloud storage. It allows existing raster geoprocessing tools to write cloud raster format (CRF) datasets into the cloud storage bucket or read raster datasets (not limited to CRF) stored in the cloud storage as input.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Create Database Connection,Creates a file that ArcGIS uses to connect to a database or an enterprise geodatabase.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Create Database Connection String,Creates a connection string that geoprocessing tools can use to connect to a database or an enterprise geodatabase.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Create Feature Dataset,Creates a feature dataset in the output location—an existing enterprise or file geodatabase.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Create File Geodatabase,Creates a file geodatabase in a folder.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Create Folder,Creates a folder in the specified location.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Create Mobile Geodatabase,Creates a mobile geodatabase.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Create Spatial Type,"Adds the ST_Geometry SQL type, subtypes, and functions to an Oracle or a PostgreSQL database. This allows you to use the ST_Geometry SQL type to store geometries in a database that does not contain a geodatabase. You can also use this tool to upgrade the existing ST_Geometry type, subtypes, and functions in an Oracle or a PostgreSQL database.",/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Create SQLite Database,Creates a GeoPackageor an SQLite database that contains the ST_Geometry or SpatiaLite spatial type.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Export XML Workspace Document,Creates a readable XML document of the geodatabase contents.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Import XML Workspace Document,Imports the contents of an XML workspace document into an existing geodatabase.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
Update Geodatabase Connection Properties To Branch,Updates an enterprise geodatabase connection to work with branch versioning.,/en/pro-app/2.7/tool-reference/data-management/an-overview-of-the-workspace-toolset.htm,Workspace,"
The Workspace toolset contains a set of tools to create the data storage structures used by ArcGIS. ",Data Management toolbox
NA,"Runs a Reviewer batch job on a workspace and writes the results to a Reviewer session. A Reviewer batch job contains groups of Reviewer checks. Checks validate data based on conditions, rules, and spatial relationships. Checks also specify sets of features or rows to validate and their source workspace. A Reviewer session stores information about validation tasks performed by Reviewer checks. This information is stored in a table and a dataset in the Reviewer workspace.",/en/pro-app/2.7/tool-reference/data-reviewer/an-overview-of-the-data-validation-toolset.htm#GUID-BDA43787-B885-4D04-8327-1AE9B29953B7,Data Validation,"The Data Validation toolset offers tools you can use to ensure your data meets a 
product specification or other business rules in your organization. The Data Validation toolset has tools for running batch jobs on data to ensure data complies with rules your organization has defined for the data before it is considered valid.",Data Reviewer toolbox
NA,"Writes a feature class, feature layer,  table, or table view to the Reviewer workspace.",/en/pro-app/2.7/tool-reference/data-reviewer/an-overview-of-the-data-validation-toolset.htm#GUID-BDA43787-B885-4D04-8327-1AE9B29953B7,Data Validation,"The Data Validation toolset offers tools you can use to ensure your data meets a 
product specification or other business rules in your organization. The Data Validation toolset has tools for running batch jobs on data to ensure data complies with rules your organization has defined for the data before it is considered valid.",Data Reviewer toolbox
NA,Creates a new Reviewer session in the specified workspace.,/en/pro-app/2.7/tool-reference/data-reviewer/an-overview-of-the-result-management-toolset.htm#GUID-62F80B32-95A4-45F8-B0EE-11376216B7F1,Result Management,"Batch job results are stored in sessions within Reviewer workspaces. 
Sessions can be organized in a number of different ways so you can see the state of your data at different points in time, or by the types of results you have found, such as sampling and feature class results.Tools in the Result Management toolset can be used to manage the sessions containing the results.",Data Reviewer toolbox
NA,Permanently deletes one or more sessions and all related records from a Reviewer workspace.,/en/pro-app/2.7/tool-reference/data-reviewer/an-overview-of-the-result-management-toolset.htm#GUID-62F80B32-95A4-45F8-B0EE-11376216B7F1,Result Management,"Batch job results are stored in sessions within Reviewer workspaces. 
Sessions can be organized in a number of different ways so you can see the state of your data at different points in time, or by the types of results you have found, such as sampling and feature class results.Tools in the Result Management toolset can be used to manage the sessions containing the results.",Data Reviewer toolbox
NA,Adds a feature dataset and tables necessary for an existing geodatabase to be considered a Reviewer workspace and store Data Reviewer results. The Reviewer workspace tables are required by ArcGIS Data Reviewer to manage Reviewer sessions.,/en/pro-app/2.7/tool-reference/data-reviewer/an-overview-of-the-result-management-toolset.htm#GUID-62F80B32-95A4-45F8-B0EE-11376216B7F1,Result Management,"Batch job results are stored in sessions within Reviewer workspaces. 
Sessions can be organized in a number of different ways so you can see the state of your data at different points in time, or by the types of results you have found, such as sampling and feature class results.Tools in the Result Management toolset can be used to manage the sessions containing the results.",Data Reviewer toolbox
Calculate Density,Calculates a magnitude-per-unit area from point features that fall within a neighborhood around each cell.,/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-analyze-patterns-toolset.htm,"Analyze Patterns

","

Analyze Patterns

",GeoAnalytics Desktop toolbox
Find Hot Spots,"Given a set of features, identifies statistically significant hot spots and cold spots using the Getis-Ord Gi* statistic.",/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-analyze-patterns-toolset.htm,"Analyze Patterns

","

Analyze Patterns

",GeoAnalytics Desktop toolbox
Find Point Clusters,Finds clusters of point features in surrounding noise based on their spatial or spatiotemporal distribution.,/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-analyze-patterns-toolset.htm,"Analyze Patterns

","

Analyze Patterns

",GeoAnalytics Desktop toolbox
Forest-based Classification and Regression,"Creates models and generates predictions using an adaptation of Leo Breiman's random forest algorithm, which is a supervised machine learning method. Predictions can be performed for both categorical variables (classification) and continuous variables (regression). Explanatory variables can take the form of fields in the attribute table of the training features. In addition to validation of model performance based on the training data, predictions can be made to features.",/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-analyze-patterns-toolset.htm,"Analyze Patterns

","

Analyze Patterns

",GeoAnalytics Desktop toolbox
Generalized Linear Regression,"Performs generalized linear regression 
(GLR) to generate predictions or to model a dependent variable in terms of its relationship to a set of explanatory variables. This tool can be used to fit continuous (OLS), binary (logistic), and count (Poisson) models.",/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-analyze-patterns-toolset.htm,"Analyze Patterns

","

Analyze Patterns

",GeoAnalytics Desktop toolbox
Calculate Density,Calculates a magnitude-per-unit area from point features that fall within a neighborhood around each cell.,/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-analyze-patterns-toolset.htm,"Analyze Patterns

","
 The Analyze Patterns toolset contains tools that identify, quantify, and visualize spatial patterns in feature data.",GeoAnalytics Desktop toolbox
Find Hot Spots,"Given a set of features, identifies statistically significant hot spots and cold spots using the Getis-Ord Gi* statistic.",/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-analyze-patterns-toolset.htm,"Analyze Patterns

","
 The Analyze Patterns toolset contains tools that identify, quantify, and visualize spatial patterns in feature data.",GeoAnalytics Desktop toolbox
Find Point Clusters,Finds clusters of point features in surrounding noise based on their spatial or spatiotemporal distribution.,/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-analyze-patterns-toolset.htm,"Analyze Patterns

","
 The Analyze Patterns toolset contains tools that identify, quantify, and visualize spatial patterns in feature data.",GeoAnalytics Desktop toolbox
Forest-based Classification and Regression,"Creates models and generates predictions using an adaptation of Leo Breiman's random forest algorithm, which is a supervised machine learning method. Predictions can be performed for both categorical variables (classification) and continuous variables (regression). Explanatory variables can take the form of fields in the attribute table of the training features. In addition to validation of model performance based on the training data, predictions can be made to features.",/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-analyze-patterns-toolset.htm,"Analyze Patterns

","
 The Analyze Patterns toolset contains tools that identify, quantify, and visualize spatial patterns in feature data.",GeoAnalytics Desktop toolbox
Generalized Linear Regression,"Performs generalized linear regression 
(GLR) to generate predictions or to model a dependent variable in terms of its relationship to a set of explanatory variables. This tool can be used to fit continuous (OLS), binary (logistic), and count (Poisson) models.",/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-analyze-patterns-toolset.htm,"Analyze Patterns

","
 The Analyze Patterns toolset contains tools that identify, quantify, and visualize spatial patterns in feature data.",GeoAnalytics Desktop toolbox
Calculate Motion Statistics,Calculates motion statistics for points in a time-enabled feature class.,/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-data-enrichment-toolset.htm,Data Enrichment,"The Data Enrichment
toolset contains a tool for adding attributes to existing features for visualization, regression, and prediction.

",GeoAnalytics Desktop toolbox
Detect Incidents,Creates a layer that detects features that meet a given condition.,/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-find-locations-toolset.htm,Find Locations," This toolset is used to identify areas that meet a number of different criteria you specify. The criteria can be based on attribute queries (for example, parcels that are vacant) and spatial queries (for example, within 1 kilometer of a river). The areas that are found can be selected from existing features (such as existing land parcels), or new features can be created where all the requirements are met.
",GeoAnalytics Desktop toolbox
Find Dwell Locations,"Finds locations where moving objects have stopped, or dwelled, using given time and distance thresholds.",/en/pro-app/2.7/tool-reference/geoanalytics-desktop/an-overview-of-the-find-locations-toolset.htm,Find Locations," This toolset is used to identify areas that meet a number of different criteria you specify. The criteria can be based on attribute queries (for example, parcels that are vacant) and spatial queries (for example, within 1 kilometer of a river). The areas that are found can be selected from existing features (such as existing land parcels), or new features can be created where all the requirements are met.
",GeoAnalytics Desktop toolbox
