tool,description,href,toolbox,toolset
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Feature Analysis toolbox,Use Proximity
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Feature Analysis toolbox,Use Proximity
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Feature Analysis toolbox,Use Proximity
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Feature Analysis toolbox,Use Proximity
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Feature Analysis toolbox,Use Proximity
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Desktop toolbox,Analyze Patterns
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Desktop toolbox,Analyze Patterns
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Desktop toolbox,Analyze Patterns
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Desktop toolbox,Analyze Patterns
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Desktop toolbox,Analyze Patterns
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Desktop toolbox,Analyze Patterns
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Desktop toolbox,Data Enrichment
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Desktop toolbox,Data Enrichment
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Desktop toolbox,Data Enrichment
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Desktop toolbox,Data Enrichment
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Desktop toolbox,Data Enrichment
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Desktop toolbox,Data Enrichment
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Desktop toolbox,Find Locations
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Desktop toolbox,Find Locations
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Desktop toolbox,Find Locations
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Desktop toolbox,Find Locations
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Desktop toolbox,Find Locations
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Desktop toolbox,Find Locations
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Desktop toolbox,Manage Data
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Desktop toolbox,Manage Data
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Desktop toolbox,Manage Data
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Desktop toolbox,Manage Data
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Desktop toolbox,Manage Data
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Desktop toolbox,Manage Data
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Desktop toolbox,Summarize Data
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Desktop toolbox,Summarize Data
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Desktop toolbox,Summarize Data
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Desktop toolbox,Summarize Data
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Desktop toolbox,Summarize Data
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Desktop toolbox,Summarize Data
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Desktop toolbox,Use Proximity
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Desktop toolbox,Use Proximity
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Desktop toolbox,Use Proximity
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Desktop toolbox,Use Proximity
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Desktop toolbox,Use Proximity
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Desktop toolbox,Use Proximity
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Desktop toolbox,Utilities
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Desktop toolbox,Utilities
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Desktop toolbox,Utilities
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Desktop toolbox,Utilities
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Desktop toolbox,Utilities
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Desktop toolbox,Utilities
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Server toolbox,Analyze Patterns
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Server toolbox,Analyze Patterns
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Server toolbox,Analyze Patterns
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Server toolbox,Analyze Patterns
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Server toolbox,Analyze Patterns
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Server toolbox,Analyze Patterns
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Server toolbox,Data Enrichment
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Server toolbox,Data Enrichment
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Server toolbox,Data Enrichment
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Server toolbox,Data Enrichment
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Server toolbox,Data Enrichment
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Server toolbox,Data Enrichment
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Server toolbox,Find Locations
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Server toolbox,Find Locations
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Server toolbox,Find Locations
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Server toolbox,Find Locations
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Server toolbox,Find Locations
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Server toolbox,Find Locations
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Server toolbox,Manage Data
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Server toolbox,Manage Data
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Server toolbox,Manage Data
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Server toolbox,Manage Data
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Server toolbox,Manage Data
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Server toolbox,Manage Data
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Server toolbox,Summarize Data
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Server toolbox,Summarize Data
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Server toolbox,Summarize Data
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Server toolbox,Summarize Data
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Server toolbox,Summarize Data
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Server toolbox,Summarize Data
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,GeoAnalytics Server toolbox,Use Proximity
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,GeoAnalytics Server toolbox,Use Proximity
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,GeoAnalytics Server toolbox,Use Proximity
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,GeoAnalytics Server toolbox,Use Proximity
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,GeoAnalytics Server toolbox,Use Proximity
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,GeoAnalytics Server toolbox,Use Proximity
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Geostatistical Analyst toolbox,Interpolation
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Geostatistical Analyst toolbox,Interpolation
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Geostatistical Analyst toolbox,Interpolation
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Geostatistical Analyst toolbox,Interpolation
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Geostatistical Analyst toolbox,Interpolation
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Geostatistical Analyst toolbox,Interpolation
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Geostatistical Analyst toolbox,Sampling Network Design
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Geostatistical Analyst toolbox,Sampling Network Design
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Geostatistical Analyst toolbox,Sampling Network Design
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Geostatistical Analyst toolbox,Sampling Network Design
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Geostatistical Analyst toolbox,Sampling Network Design
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Geostatistical Analyst toolbox,Sampling Network Design
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Geostatistical Analyst toolbox,Simulation
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Geostatistical Analyst toolbox,Simulation
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Geostatistical Analyst toolbox,Simulation
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Geostatistical Analyst toolbox,Simulation
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Geostatistical Analyst toolbox,Simulation
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Geostatistical Analyst toolbox,Simulation
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Geostatistical Analyst toolbox,Utilities
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Geostatistical Analyst toolbox,Utilities
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Geostatistical Analyst toolbox,Utilities
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Geostatistical Analyst toolbox,Utilities
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Geostatistical Analyst toolbox,Utilities
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Geostatistical Analyst toolbox,Utilities
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Geostatistical Analyst toolbox,Working with Geostatistical Layers
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Geostatistical Analyst toolbox,Working with Geostatistical Layers
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Geostatistical Analyst toolbox,Working with Geostatistical Layers
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Geostatistical Analyst toolbox,Working with Geostatistical Layers
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Geostatistical Analyst toolbox,Working with Geostatistical Layers
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Geostatistical Analyst toolbox,Working with Geostatistical Layers
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Image Analyst toolbox,Change Detection
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Image Analyst toolbox,Change Detection
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Image Analyst toolbox,Change Detection
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Image Analyst toolbox,Change Detection
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Image Analyst toolbox,Change Detection
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Image Analyst toolbox,Change Detection
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Image Analyst toolbox,Deep Learning
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Image Analyst toolbox,Deep Learning
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Image Analyst toolbox,Deep Learning
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Image Analyst toolbox,Deep Learning
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Image Analyst toolbox,Deep Learning
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Image Analyst toolbox,Deep Learning
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Image Analyst toolbox,Extraction
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Image Analyst toolbox,Extraction
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Image Analyst toolbox,Extraction
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Image Analyst toolbox,Extraction
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Image Analyst toolbox,Extraction
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Image Analyst toolbox,Extraction
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Image Analyst toolbox,Map Algebra
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Image Analyst toolbox,Map Algebra
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Image Analyst toolbox,Map Algebra
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Image Analyst toolbox,Map Algebra
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Image Analyst toolbox,Map Algebra
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Image Analyst toolbox,Map Algebra
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Image Analyst toolbox,Math
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Image Analyst toolbox,Math
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Image Analyst toolbox,Math
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Image Analyst toolbox,Math
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Image Analyst toolbox,Math
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Image Analyst toolbox,Math
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Image Analyst toolbox,Math
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Image Analyst toolbox,Math
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Image Analyst toolbox,Math
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Image Analyst toolbox,Math
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Image Analyst toolbox,Math
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Image Analyst toolbox,Math
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Image Analyst toolbox,Motion Imagery
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Image Analyst toolbox,Motion Imagery
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Image Analyst toolbox,Motion Imagery
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Image Analyst toolbox,Motion Imagery
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Image Analyst toolbox,Motion Imagery
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Image Analyst toolbox,Motion Imagery
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Image Analyst toolbox,Multidimensional Analysis
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Image Analyst toolbox,Multidimensional Analysis
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Image Analyst toolbox,Multidimensional Analysis
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Image Analyst toolbox,Multidimensional Analysis
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Image Analyst toolbox,Multidimensional Analysis
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Image Analyst toolbox,Multidimensional Analysis
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Image Analyst toolbox,Overlay
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Image Analyst toolbox,Overlay
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Image Analyst toolbox,Overlay
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Image Analyst toolbox,Overlay
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Image Analyst toolbox,Overlay
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Image Analyst toolbox,Overlay
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Image Analyst toolbox,Segmentation and Classification
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Image Analyst toolbox,Segmentation and Classification
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Image Analyst toolbox,Segmentation and Classification
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Image Analyst toolbox,Segmentation and Classification
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Image Analyst toolbox,Segmentation and Classification
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Image Analyst toolbox,Segmentation and Classification
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Image Analyst toolbox,Statistical
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Image Analyst toolbox,Statistical
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Image Analyst toolbox,Statistical
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Image Analyst toolbox,Statistical
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Image Analyst toolbox,Statistical
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Image Analyst toolbox,Statistical
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Intelligence toolbox,Analysis
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Intelligence toolbox,Analysis
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Intelligence toolbox,Analysis
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Intelligence toolbox,Analysis
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Intelligence toolbox,Analysis
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Intelligence toolbox,Analysis
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Intelligence toolbox,Analysis
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Intelligence toolbox,Analysis
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Intelligence toolbox,Analysis
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Intelligence toolbox,Analysis
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Intelligence toolbox,Analysis
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Intelligence toolbox,Analysis
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Intelligence toolbox,Conversion
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Intelligence toolbox,Conversion
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Intelligence toolbox,Conversion
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Intelligence toolbox,Conversion
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Intelligence toolbox,Conversion
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Intelligence toolbox,Conversion
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Intelligence toolbox,Movement
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Intelligence toolbox,Movement
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Intelligence toolbox,Movement
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Intelligence toolbox,Movement
Import 3D Files,Imports one or more 3D models into a multipatch feature class.,NA,Intelligence toolbox,Movement
Layer 3D To Feature Class,Exports feature layers with 3D display properties to 3D lines or multipatch features.,NA,Intelligence toolbox,Movement
ASCII 3D To Feature Class,"Imports 3D features from one or more ASCII files stored in XYZ, XYZI, or GENERATE formats into a new feature class.",NA,Location Referencing toolbox,Overlay Events
Feature Class Z To ASCII,"Exports 3D features to ASCII text files storing GENERATE, XYZ, or profile data.",NA,Location Referencing toolbox,Overlay Events
Feature To 3D By Attribute,Creates 3D features using height values derived from the attribute of the input features.,NA,Location Referencing toolbox,Overlay Events
Features From CityEngine Rules,Generates 3D geometries  from existing 2D and 3D input features using rules authored in ArcGIS CityEngine.,NA,Location Referencing toolbox,Overlay Events
